agency_id,agency_name,city,state,phone,founded_year,license_number
AGY-0001,Hall PLC Realty,Newark,New Jersey,(210) 343-3218,1989,RE-246316
AGY-0002,"Henderson, Ramirez and Lewis Realty",Virginia Beach,Virginia,(283) 486-3794,1980,RE-719176
AGY-0003,"Carter, Fuller and Mcclure Realty",Columbus,Ohio,(851) 316-1559,2007,RE-731262
AGY-0004,Wood and Sons Realty,San Jose,California,(993) 710-3413,2009,RE-539898
AGY-0005,Trujillo Group Realty,Albany,New York,(241) 592-8327,1975,RE-895667
AGY-0006,"Richards, Hurst and Ross Realty",Spokane,Washington,(513) 695-3767,1984,RE-325772
AGY-0007,James-Ferrell Realty,Tacoma,Washington,(828) 371-0122,1997,RE-988662
AGY-0008,"Gaines, Harrell and Evans Realty",Reading,Pennsylvania,Unknown,2004,RE-662275
AGY-0009,Koch-Decker Realty,San Antonio,Texas,(289) 332-5288,2015,RE-748564
AGY-0010,"Brennan, Henderson and Lewis Realty",Arvada,Colorado,(430) 639-1171,1979,RE-148050
AGY-0011,Morgan PLC Realty,Jersey City,New Jersey,(534) 565-7871,1989,RE-205907
AGY-0012,Palmer LLC Realty,Cincinnati,Ohio,(239) 730-1031,1985,RE-488162
AGY-0013,Jenkins-Shields Realty,Pittsburgh,Pennsylvania,(873) 782-9973,2018,RE-779514
AGY-0014,White-Ford Realty,Fort Worth,Texas,(910) 465-1333,1990,RE-271339
AGY-0015,Olson-Hancock Realty,Savannah,Georgia,(478) 810-8013,2019,RE-684004
AGY-0016,Phillips Inc Realty,Yonkers,New York,(926) 406-4746,1978,RE-340174
AGY-0017,"Miller, Lopez and Larson Realty",Phoenix,Arizona,(480) 250-0978,1979,RE-321231
AGY-0018,Santiago LLC Realty,Lakewood,Colorado,(736) 619-3990,2016,RE-623481
AGY-0019,Medina PLC Realty,Dayton,Ohio,(946) 324-7510,1990,RE-881177
AGY-0020,"Garcia, Humphrey and Baker Realty",Winston-Salem,North Carolina,(225) 613-5427,2012,RE-518801
AGY-0021,Whitehead-Mathis Realty,Pittsburgh,Pennsylvania,(682) 944-9353,2006,RE-195325
AGY-0022,"Smith, Jones and Ware Realty",Seattle,Washington,(964) 800-5242,1985,RE-930555
AGY-0023,Nolan-Flynn Realty,Elizabeth,New Jersey,(280) 659-8262,2013,RE-590785
AGY-0024,Cherry and Sons Realty,Greensboro,North Carolina,(453) 531-5869,1975,RE-813328
AGY-0025,Hoover-Savage Realty,Virginia Beach,Virginia,(902) 756-3421,1992,RE-905934
AGY-0026,Wilson LLC Realty,Paterson,New Jersey,(803) 765-4145,2004,RE-103402
AGY-0027,Lam-Lee Realty,Alexandria,Virginia,(894) 301-9655,1986,RE-632342
AGY-0028,"Charles, Cortez and Evans Realty",Denver,Colorado,(760) 788-3561,2015,RE-632323
AGY-0029,"Bass, Torres and Clark Realty",Grand Rapids,Michigan,(665) 864-8236,2009,RE-916449
AGY-0030,Robertson-Schultz Realty,Lakewood,Colorado,(495) 377-7387,2006,RE-120422
AGY-0031,"Horton, Snyder and Sanchez Realty",Austin,Texas,(813) 543-3200,1994,RE-351083
AGY-0032,"Schmidt, Hansen and Stewart Realty",San Francisco,California,(401) 963-2870,1980,RE-867460
AGY-0033,Gonzales-Reeves Realty,Macon,Georgia,(979) 586-8727,1983,RE-234628
AGY-0034,"Lewis, Perry and Rivera Realty",Elizabeth,New Jersey,(845) 458-1223,2008,RE-736059
AGY-0035,Castaneda-Ashley Realty,Cleveland,Ohio,(760) 636-6909,2019,RE-310922
AGY-0036,Hooper PLC Realty,Chesapeake,Virginia,(488) 993-7346,1998,RE-559381
AGY-0037,Gray-Lewis Realty,Lakewood,Colorado,(469) 290-1627,1979,RE-454508
AGY-0038,Gonzalez Inc Realty,San Jose,California,(256) 246-4170,1975,RE-174441
AGY-0039,Rodriguez-Johnson Realty,Alexandria,Virginia,Unknown,1977,RE-446479
AGY-0040,"Patterson, Wood and Hunter Realty",Fort Worth,Texas,(296) 763-1931,1988,RE-665427
AGY-0041,Petersen-Vargas Realty,Naples,Florida,(906) 971-6572,2005,RE-354801
AGY-0042,Kelly LLC Realty,Vancouver,Washington,(431) 947-3799,1981,RE-790993
AGY-0043,McGuire-Davis Realty,Cincinnati,Ohio,(949) 948-0831,1978,RE-806073
AGY-0044,"Pierce, Bell and Chavez Realty",Woodbridge,New Jersey,(763) 849-5788,1996,RE-939482
AGY-0045,Phillips LLC Realty,Phoenix,Arizona,(643) 313-5182,2003,RE-246991
AGY-0046,"O'Neill, Henry and Salas Realty",Cleveland,Ohio,(640) 482-4008,1979,RE-564656
AGY-0047,Morales Inc Realty,Redmond,Washington,(947) 377-5204,2016,RE-666847
AGY-0048,"James, Kerr and Evans Realty",Phoenix,Arizona,(802) 529-4131,1990,RE-274389
AGY-0049,"Miller, Allen and Arnold Realty",Toledo,Ohio,(564) 699-0913,1978,RE-272634
AGY-0050,"Heath, Jones and Hall Realty",Columbus,Ohio,(606) 679-7403,2004,RE-399105
