transaction_id,listing_id,buyer_id,agent_id,sale_price,sale_date,closing_date,commission_amount,transaction_status,financing_type,inspection_passed,days_to_close,commission_rate
TXN-00001,LST-2538,BYR-1560,AGT-0014,564343.77,2024-02-19,2024-03-19,18066.11,Cancelled,FHA,False,29,3.201259756974016
TXN-00002,LST-5244,BYR-0814,AGT-0111,1123508.95,2021-04-15,2021-05-22,65128.04,Cancelled,VA,True,37,5.796842116834049
TXN-00003,LST-2581,BYR-2677,AGT-0006,2360712.19,2021-04-08,2021-05-11,101742.1,Cancelled,VA,False,33,4.3098053388710635
TXN-00004,LST-5153,BYR-1999,AGT-0108,953489.18,2024-07-31,2024-08-22,42756.33,Cancelled,FHA,True,22,4.484196663878241
TXN-00005,LST-3511,BYR-1008,AGT-0273,1733871.6,2024-07-20,2024-08-20,99907.22,Pending,Conventional,False,31,5.762088726754622
TXN-00006,LST-5744,BYR-3678,AGT-0207,1030509.93,2024-10-14,2024-11-06,38604.38,Pending,FHA,False,23,3.7461434262938154
TXN-00007,LST-4183,BYR-2858,AGT-0260,158743.17,2020-08-15,2020-08-30,9306.29,Cancelled,Conventional,True,15,5.862482146475971
TXN-00008,LST-3725,BYR-3978,AGT-0267,2168310.62,2022-09-13,2022-10-08,129564.53,Pending,Conventional,True,25,5.975367588247112
TXN-00009,LST-5965,BYR-0099,AGT-0156,838294.61,2020-09-26,2020-11-07,44043.89,Pending,Conventional,True,42,5.253987020147965
TXN-00010,LST-5596,BYR-1048,AGT-0300,2730012.72,2022-04-09,2022-05-23,120292.83,Cancelled,Conventional,True,44,4.406310238730316
TXN-00011,LST-4262,BYR-3393,AGT-0184,811094.68,2020-03-28,2020-04-28,25979.0,Pending,Cash,True,31,3.202955294935481
TXN-00012,LST-3850,BYR-3120,AGT-0283,1884090.79,2022-06-09,2022-07-23,74643.76,Completed,Conventional,True,44,3.9617920960167736
TXN-00013,LST-3705,BYR-1829,AGT-0237,1273438.11,2020-10-02,2020-10-17,48348.85,Cancelled,Conventional,True,15,3.7967176905048015
TXN-00014,LST-0830,BYR-3706,AGT-0239,1959938.04,2020-10-25,2020-11-19,61765.09,Pending,Cash,True,25,3.151379724228425
TXN-00015,LST-1235,BYR-0994,AGT-0171,1557683.1,2020-05-12,2020-06-24,66798.05,Pending,Conventional,True,43,4.288295225132763
TXN-00016,LST-0692,BYR-2511,AGT-0114,708095.81,2021-04-29,2021-05-24,40887.97,Pending,Conventional,False,25,5.774355591794845
TXN-00017,LST-0544,BYR-3699,AGT-0178,3034776.47,2021-09-21,2021-10-14,128952.93,Pending,Jumbo,True,23,4.24917391032757
TXN-00018,LST-2511,BYR-1480,AGT-0087,1399217.44,2021-02-17,2021-03-21,80296.53,Cancelled,Jumbo,True,32,5.738674183477873
TXN-00019,LST-3325,BYR-2197,AGT-0193,2117223.22,2020-11-14,2020-12-04,125532.24,Pending,Conventional,True,20,5.9290980192442815
TXN-00020,LST-3232,BYR-2620,AGT-0153,328726.0,2023-09-12,2023-10-18,12985.56,Pending,Conventional,True,36,3.9502686127656466
TXN-00021,LST-3013,BYR-3296,AGT-0265,282543.02,2021-11-17,2021-12-07,11502.3,Completed,Conventional,True,20,4.070990676039351
TXN-00022,LST-0005,BYR-2719,AGT-0016,541258.7,2020-07-01,2020-08-02,31643.46,Pending,Jumbo,True,32,5.846272771227511
TXN-00023,LST-5791,BYR-1332,AGT-0093,502523.9,2023-07-28,2023-09-02,15403.39,Cancelled,Conventional,True,36,3.0652054558997093
TXN-00024,LST-3876,BYR-1396,AGT-0089,171840.37,2023-12-20,2024-01-13,6006.58,Cancelled,Cash,True,24,3.495441728855682
TXN-00025,LST-0055,BYR-3356,AGT-0146,2381709.47,2021-06-28,2021-08-06,68396.19,Completed,Cash,True,39,2.8717268357672525
TXN-00026,LST-5936,BYR-2222,AGT-0058,856331.3,2024-02-17,2024-03-22,27640.49,Cancelled,Conventional,False,34,3.2277799491855546
TXN-00027,LST-1681,BYR-0999,AGT-0044,2588489.06,2021-03-30,2021-05-03,109751.16,Completed,Conventional,False,34,4.2399700155580335
TXN-00028,LST-1535,BYR-3738,AGT-0162,1150500.18,2020-10-04,2020-11-07,35046.01,Unknown,Conventional,True,34,3.046154238759007
TXN-00029,LST-5205,BYR-1095,AGT-0021,2359044.34,2021-06-04,2021-07-17,94452.68,Cancelled,Conventional,True,43,4.0038535265513495
TXN-00030,LST-1551,BYR-3260,AGT-0060,1496824.98,2022-08-26,2022-09-15,66893.0,Pending,Conventional,True,20,4.468992760930539
TXN-00031,LST-1769,BYR-3595,AGT-0264,227381.97,2024-06-30,2024-08-05,6029.08,Cancelled,Conventional,True,36,2.6515206988487257
TXN-00032,LST-0995,BYR-3923,AGT-0270,550626.17,2022-10-11,2022-11-02,24406.19,Pending,Conventional,True,22,4.432442795081824
TXN-00033,LST-4714,BYR-0570,AGT-0210,1504765.12,2024-05-26,2024-06-19,48058.18,Completed,Conventional,True,24,3.1937329860490116
TXN-00034,LST-4227,BYR-0107,AGT-0011,1242461.94,2024-06-09,2024-07-17,67124.68,Pending,Jumbo,False,38,5.402554222304789
TXN-00035,LST-2312,BYR-2163,AGT-0235,422304.57,2021-06-12,2021-07-01,24823.49,Cancelled,Cash,False,19,5.878101200751865
TXN-00036,LST-4213,BYR-2764,AGT-0299,1745827.49,2020-08-18,2020-09-06,72115.67,Completed,Cash,False,19,4.1307443268635895
TXN-00037,LST-5449,BYR-0039,AGT-0123,993464.96,2020-10-01,2020-11-07,51633.08,Cancelled,Cash,False,37,5.1972723829132335
TXN-00038,LST-0740,BYR-0007,AGT-0208,170269.16,2023-01-20,2023-02-12,7483.11,Completed,FHA,True,23,4.394871038301944
TXN-00039,LST-0837,BYR-0492,AGT-0130,875461.17,2022-04-29,2022-06-11,46889.39,Cancelled,VA,True,43,5.355964559798808
TXN-00040,LST-1467,BYR-3158,AGT-0144,2184962.09,2024-03-13,2024-03-31,65762.09,Pending,FHA,True,18,3.009758855816121
TXN-00041,LST-3147,BYR-1543,AGT-0238,709829.1,2022-09-09,2022-10-08,37336.19,Pending,Conventional,True,29,5.2598843862557905
TXN-00042,LST-2762,BYR-1228,AGT-0235,726676.23,2023-12-29,2024-01-23,30701.93,Pending,Conventional,False,25,4.22498063546127
TXN-00043,LST-5481,BYR-2112,AGT-0097,342343.14,2024-11-12,2024-12-22,16399.66,Unknown,Conventional,False,40,4.790415838331096
TXN-00044,LST-1092,BYR-0442,AGT-0111,2130117.49,2023-05-29,2023-06-26,87689.53,Cancelled,FHA,True,28,4.116652269729967
TXN-00045,LST-1018,BYR-3615,AGT-0125,944324.42,2021-12-26,2022-01-13,36201.59,Cancelled,Conventional,True,18,3.8335967209235142
TXN-00046,LST-4547,BYR-0856,AGT-0033,453819.58,2020-10-03,2020-10-26,15108.12,Completed,VA,True,23,3.3291027240384823
TXN-00048,LST-3435,BYR-3850,AGT-0160,1548829.18,2022-03-12,2022-04-06,41399.88,Pending,Conventional,True,25,2.6729790821735424
TXN-00049,LST-0315,BYR-2997,AGT-0081,1449148.87,2024-04-07,2024-04-29,84789.79,Pending,Conventional,False,22,5.851006184064443
TXN-00050,LST-2857,BYR-0611,AGT-0100,2139038.97,2023-11-06,2023-12-18,86241.83,Completed,Jumbo,False,42,4.031802655750587
TXN-00051,LST-2708,BYR-0386,AGT-0230,2622798.45,2023-08-16,2023-09-23,126500.93,Completed,VA,True,38,4.823128136285119
TXN-00052,LST-4833,BYR-2243,AGT-0235,2219616.26,2022-01-01,2022-01-21,69652.62,Completed,Conventional,True,20,3.138047835349701
TXN-00053,LST-3031,BYR-3135,AGT-0144,1732320.59,2023-05-29,2023-07-01,49223.9,Pending,Cash,False,33,2.84150060237984
TXN-00054,LST-1851,BYR-0741,AGT-0075,1226693.83,2023-06-18,2023-07-09,51100.81,Pending,Jumbo,True,21,4.16573465605513
