agency_id,agency_name,city,state,phone,founded_year,license_number
AGY-0001,Hall PLC Realty,Newark,New Jersey,+1-210-343-3218x1960,1989,RE-246316
AGY-0002,"Henderson, Ramirez and Lewis Realty",Virginia Beach,VA,2834863794,1980,RE-719176
AGY-0003,"Carter, Fuller and Mcclure Realty",Columbus,Ohio,001-851-316-1559x40781,2007,RE-731262
AGY-0004,Wood and Sons Realty,San Jose,CA,(993)710-3413x164,2009,RE-539898
AGY-0005,Trujillo Group Realty,Albany,NY,+1-241-592-8327x64835,1975,RE-895667
AGY-0006,"Richards, Hurst and Ross Realty",Spokane,WA,513-695-3767x242,1984,RE-325772
AGY-0007,James-Ferrell Realty,Tacoma,Washington,828.371.0122,1997,RE-988662
AGY-0008,"Gaines, Harrell and Evans Realty",Reading,PA,,2004,RE-662275
AGY-0009,Koch-Decker Realty,San Antonio,Texas,+1-289-332-5288x0957,2015,RE-748564
AGY-0010,"Brennan, Henderson and Lewis Realty",Arvada,CO,430-639-1171x8227,1979,RE-148050
AGY-0011,Morgan PLC Realty,Jersey City,NJ,+1-534-565-7871,1989,RE-205907
AGY-0012,Palmer LLC Realty,Cincinnati,OH,+1-239-730-1031,1985,RE-488162
AGY-0013,Jenkins-Shields Realty,Pittsburgh,PA,+1-873-782-9973x76311,2018,RE-779514
AGY-0014,White-Ford Realty,Fort Worth,TX,9104651333,1990,RE-271339
AGY-0015,Olson-Hancock Realty,Savannah,GA,478-810-8013,2019,RE-684004
AGY-0016,Phillips Inc Realty,Yonkers,NY,9264064746,1978,RE-340174
AGY-0017,"Miller, Lopez and Larson Realty",Phoenix,AZ,001-480-250-0978,1979,RE-321231
AGY-0018,Santiago LLC Realty,Lakewood,CO,+1-736-619-3990x91699,2016,RE-623481
AGY-0019,Medina PLC Realty,Dayton,OH,946.324.7510,1990,RE-881177
AGY-0020,"Garcia, Humphrey and Baker Realty",Winston-Salem,NC,225-613-5427x849,2012,RE-518801
AGY-0021,Whitehead-Mathis Realty,Pittsburgh,PA,682-944-9353,2006,RE-195325
AGY-0022,"Smith, Jones and Ware Realty",Seattle,WA,964-800-5242,1985,RE-930555
AGY-0023,Nolan-Flynn Realty,Elizabeth,NJ,(280)659-8262,2013,RE-590785
AGY-0024,Cherry and Sons Realty,Greensboro,NC,4535315869,1975,RE-813328
AGY-0025,Hoover-Savage Realty,Virginia Beach,VA,(902)756-3421x60733,1992,RE-905934
AGY-0026,Wilson LLC Realty,Paterson,New Jersey,803.765.4145,2004,RE-103402
AGY-0027,Lam-Lee Realty,Alexandria,VA,(894)301-9655,1986,RE-632342
AGY-0028,"Charles, Cortez and Evans Realty",Denver,CO,7607883561,2015,RE-632323
AGY-0029,"Bass, Torres and Clark Realty",Grand Rapids,MI,665-864-8236x6299,2009,RE-916449
AGY-0030,Robertson-Schultz Realty,Lakewood,CO,001-495-377-7387,2006,RE-120422
AGY-0031,"Horton, Snyder and Sanchez Realty",Austin,TX,813-543-3200x37917,1994,RE-351083
AGY-0032,"Schmidt, Hansen and Stewart Realty",San Francisco,CA,+1-401-963-2870x8317,1980,RE-867460
AGY-0033,Gonzales-Reeves Realty,Macon,Georgia,001-979-586-8727x74348,1983,RE-234628
AGY-0034,"Lewis, Perry and Rivera Realty",Elizabeth,NJ,845.458.1223,2008,RE-736059
AGY-0035,Castaneda-Ashley Realty,Cleveland,OH,760.636.6909x670,2019,RE-310922
AGY-0036,Hooper PLC Realty,Chesapeake,VA,(488)993-7346x70656,1998,RE-559381
AGY-0037,Gray-Lewis Realty,Lakewood,CO,4692901627,1979,RE-454508
AGY-0038,Gonzalez Inc Realty,San Jose,CA,256-246-4170x80531,1975,RE-174441
AGY-0039,Rodriguez-Johnson Realty,Alexandria,Virginia,,1977,RE-446479
AGY-0040,"Patterson, Wood and Hunter Realty",Fort Worth,TX,296-763-1931x4919,1988,RE-665427
AGY-0041,Petersen-Vargas Realty,Naples,FL,906-971-6572x62849,2005,RE-354801
AGY-0042,Kelly LLC Realty,Vancouver,WA,431-947-3799x65075,1981,RE-790993
AGY-0043,Mcguire-Davis Realty,Cincinnati,OH,949-948-0831x36783,1978,RE-806073
AGY-0044,"Pierce, Bell and Chavez Realty",Woodbridge,New Jersey,763.849.5788,1996,RE-939482
AGY-0045,Phillips LLC Realty,Phoenix,AZ,643-313-5182x3374,2003,RE-246991
AGY-0046,"Oneill, Henry and Salas Realty",Cleveland,OH,(640)482-4008,1979,RE-564656
AGY-0047,Morales Inc Realty,Redmond,WA,001-947-377-5204,2016,RE-666847
AGY-0048,"James, Kerr and Evans Realty",Phoenix,AZ,001-802-529-4131,1990,RE-274389
AGY-0049,"Miller, Allen and Arnold Realty",Toledo,OH,001-564-699-0913,1978,RE-272634
AGY-0050,"Heath, Jones and Hall Realty",Columbus,OH,(606)679-7403,2004,RE-399105
