listing_id,property_id,agent_id,list_price,list_date,expiry_date,listing_status,days_on_market,description
LST-0001,PRP-3836,AGT-0264,434000.0,2021-01-28,2021-06-08,Sold,110.0,Building major hold buy western low chair.
LST-0002,PRP-0412,AGT-0041,1880600.0,2022-11-29,2023-03-02,Expired,145.0,Hope gas difficult think southern.
LST-0003,PRP-2661,AGT-0048,774800.0,2022-07-29,2023-01-11,Active,349.0,Much security purpose return image indeed nation raise. Instead imagine clear seven check.
LST-0004,PRP-3949,AGT-0148,788600.0,2021-04-23,2021-08-21,Expired,365.0,Heavy as agree beyond tax remember guy.
LST-0005,PRP-0655,AGT-0103,537700.0,2020-03-13,2020-08-23,Sold,,Store own employee nearly throw morning. Reason however serious worker.
LST-0006,PRP-4993,AGT-0149,1948400.0,2024-02-25,2024-05-05,Withdrawn,54.0,Employee know administration scientist. Real few debate find sometimes provide level.
LST-0007,PRP-2798,AGT-0294,1736800.0,2023-03-13,2023-06-19,Expired,171.0,Investment history story outside control development. On Congress health boy put.
LST-0008,PRP-3473,AGT-0278,1909200.0,2023-10-18,2024-02-02,Active,53.0,Special bank shake care bill fund source. Wind least her.
LST-0009,PRP-3087,AGT-0049,635000.0,2021-08-23,2021-08-09,Sold,181.0,Their forward away. Per suddenly movement upon.
LST-0010,PRP-0695,AGT-0229,2044200.0,2023-12-03,2024-05-11,Withdrawn,292.0,Adult game member house thus study over bar.
LST-0011,PRP-2960,AGT-0222,2821900.0,2023-06-01,2023-09-11,Active,56.0,Even single almost.
LST-0012,PRP-2264,AGT-0193,551600.0,2021-09-04,2021-12-14,Active,313.0,One sign civil dinner back near. Go in two control blue member.
LST-0013,PRP-0021,AGT-0257,417400.0,2022-09-12,2023-01-18,Sold,138.0,Record whether might. Area vote note source.
LST-0014,PRP-1534,AGT-0118,2667800.0,2020-01-11,2020-04-17,Active,134.0,Pick cost consider one real even social enough. It toward beat generation picture really.
LST-0015,PRP-1565,AGT-0088,1648500.0,2021-01-17,2021-03-06,Sold,354.0,Then make his.
LST-0016,PRP-2275,AGT-0034,601500.0,2021-08-06,2021-10-29,Expired,284.0,Hit necessary security night give they read.
LST-0017,PRP-1619,AGT-0029,1704800.0,2021-05-29,2021-07-14,Expired,280.0,Detail source somebody remain color.
LST-0018,PRP-0050,AGT-0107,1249900.0,2020-02-15,2020-05-11,Active,45.0,Save sister baby company money although. Box western vote able manager book.
LST-0019,PRP-3559,AGT-0061,1027900.0,2022-11-26,2023-04-11,Active,205.0,Which responsibility kind cultural work. Town thousand real group.
