location_id,street_address,city,state,zip_code,county,latitude,longitude,metro_area
LOC-0001,3136 Nicholas Forges,Arlington,TX,53583,Jones County,33.102878,-104.702806,Dallas-Fort Worth Metro
LOC-0002,62397 Paul Dale Suite 354,Elizabeth,NJ,72722,Harris County,43.664447,-120.403269,New York Metro
LOC-0003,90421 Ellis Extension,aurora,IL,36144,Wolf County,32.258704,-106.325675,Chicago Metro
LOC-0004,9292 Christopher Walks,columbus,GA,94790,Boyd County,33.210406,-79.492031,Atlanta Metro
LOC-0005,774 Jessica Street,Arlington,TX,62431,Salas County,45.576662,-101.961248,Dallas-Fort Worth Metro
LOC-0006,6939 Robin Avenue,Columbus,GA,78062,Butler County,26.900065,-99.803519,Atlanta Metro
LOC-0007,78068 Mendoza Union,Fort Lauderdale,FL,23447-5843,Horton County,32.049405,-89.650567,Miami Metro
LOC-0008,7318 Heather Lodge,erie,PA,56210,Dodson County,35.003632,-87.550249,Philadelphia Metro
LOC-0009,4310 Caldwell Estates,Woodbridge,NJ,77251,Warner County,40.626444,-69.691004,New York Metro
LOC-0010,7262 Sims Squares,vancouver,WA,18812,Schultz County,39.838746,-103.357417,Seattle Metro
LOC-0011,5804 Mullins Square,Naples,FL,58623,Shah County,42.550943,-91.286459,Miami Metro
LOC-0012,195 Zachary Spring,Paterson,NJ,2486,Cox County,29.279105,-94.488519,New York Metro
LOC-0013,65790 Richardson Rue,Tacoma,WA,38124,Hansen County,31.568268,-71.760702,Seattle Metro
LOC-0014,325 Amber Run,Phoenix,AZ,68341,Mendoza County,43.641804,-68.84901,Phoenix Metro
LOC-0015,355 Gordon Manors,Virginia Beach,VA,48058,Ramirez County,44.581327,-83.426881,Washington DC Metro
LOC-0016,5778 Theodore Place,Tacoma,WA,25907,Gregory County,43.21751,-110.506037,Seattle Metro
LOC-0017,9513 Miller Lock Apt. 411,Warren,MI,82305,Martin County,45.337668,-120.252358,Detroit Metro
LOC-0018,272 Abigail Road,Athens,GA,63665,Johnson County,26.696266,-68.574355,Atlanta Metro
LOC-0019,827 Fisher Street Apt. 431,Edison,NJ,82260,Johnson County,29.185152,-68.922917,New York Metro
LOC-0020,569 Rios Turnpike,Oakland,CA,30056,Nguyen County,28.72524,-70.719943,Los Angeles Metro
LOC-0021,4924 Kristina Forks Suite 540,Greensboro,NC,42847,Hernandez County,46.996087,-108.356291,Charlotte Metro
LOC-0022,2928 White Extensions Apt. 231,Fort Worth,TX,87569,Williams County,28.546468,-86.452226,Dallas-Fort Worth Metro
LOC-0023,274 Lopez Points Apt. 552,scottsdale,AZ,13718-5336,Watson County,39.975989,-80.283337,Phoenix Metro
LOC-0024,410 Velazquez Trafficway,Sandy Springs,GA,94136,Thomas County,36.107731,-78.132775,Atlanta Metro
LOC-0025,2088 Holland Hill Suite 492,EL PASO,TX,67619,Marsh County,35.68217,-104.609024,Dallas-Fort Worth Metro
LOC-0026,1702 Kyle Locks Apt. 751,Scranton,PA,55268,Nguyen County,28.007621,-102.879209,Philadelphia Metro
LOC-0027,834 Andrew Plain,Atlanta,GA,42495,Atkinson County,26.163922,-70.113061,Atlanta Metro
LOC-0028,637 Morrison Pass,Tucson,AZ,85718,Harding County,29.366184,-114.917483,Phoenix Metro
LOC-0029,2656 Smith Key Suite 478,Aurora,CO,21802,Miller County,36.625223,-68.898862,Denver Metro
LOC-0030,674 Linda Manors Suite 299,San Diego,CA,95755,Miller County,31.572213,-123.533888,Los Angeles Metro
LOC-0031,7851 Davis Lodge,Springfield,IL,62855,Fowler County,34.213377,-91.493946,Chicago Metro
LOC-0032,2879 James Village Suite 487,San Antonio,TX,82070,Williams County,47.749086,-85.217278,Dallas-Fort Worth Metro
