property_id,location_id,property_type,year_built,square_footage,bedrooms,bathrooms,lot_size_sqft,garage_spaces,has_pool,has_basement,stories
PRP-0001,LOC-0152,Land,1974,807,2,5.5,475670.0,4,True,False,2
PRP-0002,LOC-1139,SFR,1995,3879,3,2.0,31430.0,2,False,False,3
PRP-0003,LOC-2139,SINGLE-FAMILY,1961,603,5,5.0,12452.0,0,False,True,2
PRP-0004,LOC-3428,Town House,1920,4020,1,2.0,14983.0,3,True,True,2
PRP-0005,LOC-1391,Single Family Home,1962,504,2,2.0,25789.0,2,False,True,1
PRP-0006,LOC-4473,Single-Family,1923,4087,4,2.0,14236.0,4,True,False,1
PRP-0007,LOC-3680,CONDO,1998,5962,1,1.5,,0,True,False,3
PRP-0008,LOC-1731,Single-Family,2016,4050,2,5.5,15380.0,4,False,True,1
PRP-0009,LOC-2900,TH,1975,1740,7,5.5,29740.0,0,False,True,2
PRP-0010,LOC-2128,SFR,1979,6305,4,4.5,26643.0,4,True,False,1
PRP-0011,LOC-0637,Single-Family,2003,4947,3,3.5,5799.0,2,False,True,2
PRP-0012,LOC-3539,Condo,1935,7614,5,5.5,1053.0,0,False,False,3
PRP-0013,LOC-1255,Single-Family,1961,2455,2,5.0,46314.0,2,False,True,1
PRP-0014,LOC-2764,sfr,1992,7519,6,5.0,28830.0,0,False,True,3
PRP-0015,LOC-4343,TH,1946,689,7,3.5,14168.0,4,True,False,1
PRP-0016,LOC-4435,Single Family Home,1948,4405,2,1.0,45957.0,0,False,False,1
PRP-0017,LOC-4854,Single Family Home,1938,5621,4,4.5,28335.0,0,False,True,3
PRP-0018,LOC-3754,Single-Family,1924,7318,4,1.5,39921.0,4,True,False,2
PRP-0019,LOC-3576,LAND,1995,3253,6,3.0,17844.0,0,True,True,3
PRP-0020,LOC-2013,Condominium,1934,4256,2,5.0,,2,True,False,2
PRP-0021,LOC-4614,SFR,1968,5310,4,5.5,12715.0,1,False,True,1
PRP-0022,LOC-0352,townhouse,1944,1771,3,2.5,34048.0,4,True,True,2
PRP-0023,LOC-0516,SFR,2007,5997,7,1.5,19403.0,1,True,True,1
PRP-0024,LOC-4730,MULTI-FAMILY,2019,4646,6,2.5,11850.0,4,False,False,3
PRP-0025,LOC-3857,Condominium,2021,673,3,1.5,,0,False,False,1
PRP-0026,LOC-1762,MULTI-FAMILY,1979,6538,2,4.5,18407.0,1,False,True,1
PRP-0027,LOC-0615,Single-Family,1944,4705,3,2.5,20824.0,2,False,True,2
PRP-0028,LOC-2351,townhouse,1979,3791,1,1.5,9120.0,3,False,True,2
PRP-0029,LOC-2557,Single Family Home,1935,4812,4,2.5,24531.0,2,True,False,2
PRP-0030,LOC-0801,MULTI-FAMILY,2019,7795,2,1.5,44723.0,3,False,False,3
PRP-0031,LOC-4469,Single Family Home,2002,2295,4,1.0,2904.0,4,False,False,1
PRP-0032,LOC-3883,Condo,1984,1420,3,5.0,,0,False,False,2
PRP-0033,LOC-4164,SINGLE-FAMILY,2007,786,6,3.0,6491.0,4,True,True,2
PRP-0034,LOC-4317,Single Family Home,2020,7006,6,2.0,38421.0,1,False,True,2
PRP-0035,LOC-1783,sfr,2017,3492,1,5.0,31983.0,3,False,True,2
PRP-0036,LOC-1096,Condo,2017,4629,1,2.5,,1,False,True,3
PRP-0037,LOC-1878,Townhouse,1920,2902,3,1.0,44594.0,4,False,False,3
PRP-0038,LOC-2090,Single-Family,1994,3691,3,4.5,29028.0,1,False,True,3
PRP-0039,LOC-1916,Condominium,2013,4946,7,1.5,,3,False,True,3
PRP-0040,LOC-1701,condominium,2004,1245,5,1.5,,4,False,False,3
PRP-0041,LOC-3987,condo,1928,679,2,1.5,,3,True,True,1
PRP-0042,LOC-3728,Condo,1971,7886,6,4.5,,0,False,False,2
PRP-0043,LOC-2056,Condo,1987,4267,2,4.0,1404.0,4,True,True,2
PRP-0044,LOC-0611,condo,1942,5214,1,4.0,,4,False,True,2
PRP-0045,LOC-4648,condo,1948,5329,6,5.0,,0,False,True,1
PRP-0046,LOC-2854,TH,1951,1189,3,4.0,39497.0,4,True,True,2
PRP-0047,LOC-1372,condo,2000,2390,7,2.0,,2,False,False,1
PRP-0048,LOC-0426,Multi-Family,2008,3190,4,2.0,17151.0,3,False,True,1
PRP-0049,LOC-0635,CONDO,1939,3559,4,1.0,567.0,4,True,False,2
PRP-0050,LOC-1050,single family,1956,704,5,2.5,29513.0,4,False,False,3
PRP-0051,LOC-4557,single family,1974,2153,7,4.5,37686.0,0,False,True,1
PRP-0052,LOC-2719,TOWNHOUSE,2001,3736,1,4.0,14336.0,0,False,False,3
PRP-0053,LOC-2391,condominium,1929,803,4,3.5,,3,False,False,3
PRP-0054,LOC-2021,Single Family Home,1980,3715,6,2.5,46266.0,2,False,True,3
PRP-0055,LOC-4063,single family,1987,3207,4,4.5,33566.0,2,False,True,3
PRP-0056,LOC-4203,CONDO,2009,4537,2,4.0,,1,False,False,2
PRP-0057,LOC-3092,condominium,1924,7805,2,2.5,,2,False,False,2
PRP-0058,LOC-0510,single family,1939,3278,7,4.0,34540.0,0,False,True,3
PRP-0059,LOC-0889,SINGLE-FAMILY,2012,4949,5,1.5,28080.0,0,False,False,3
PRP-0060,LOC-4161,single family,2012,5225,3,1.0,16600.0,0,True,True,2
PRP-0061,LOC-0079,sfr,1985,1684,4,5.5,37974.0,3,True,False,1
PRP-0062,LOC-4863,Single Family Home,1979,6762,7,1.5,42286.0,0,False,True,3
PRP-0063,LOC-0265,Townhouse,1941,2324,2,5.5,21922.0,3,True,False,1
PRP-0064,LOC-2986,Single-Family,1966,940,4,3.5,31380.0,2,False,False,3
PRP-0065,LOC-4059,sfr,2005,1616,5,1.5,2704.0,0,True,False,1
PRP-0066,LOC-2326,Multi Family,1934,2976,4,2.5,36299.0,0,False,False,1
PRP-0067,LOC-0548,TOWNHOUSE,2004,3509,7,1.5,28740.0,2,False,True,2
PRP-0068,LOC-2392,Single-Family,2008,6990,6,2.0,21220.0,2,False,False,3
PRP-0069,LOC-3171,condominium,1999,1093,3,2.5,,3,True,False,2
