feature_id,property_id,feature_name,feature_value
FTR-00001,PRP-0001,vaulted_ceilings,1
FTR-00002,PRP-0001,hardwood_floors,yes
FTR-00003,PRP-0002,solar_panels,YES
FTR-00004,PRP-0002,master_suite,Yes
FTR-00005,PRP-0003,updated_kitchen,yes
FTR-00006,PRP-0003,stainless_appliances,YES
FTR-00007,PRP-0004,fresh_paint,YES
FTR-00008,PRP-0004,stainless_appliances,1
FTR-00009,PRP-0004,fireplace,Yes
FTR-00010,PRP-0004,granite_counters,1
FTR-00011,PRP-0004,walk_in_closet,no
FTR-00012,PRP-0005,granite_counters,YES
FTR-00013,PRP-0005,new_roof,YES
FTR-00014,PRP-0005,master_suite,1
FTR-00015,PRP-0006,open_floor_plan,1
FTR-00016,PRP-0006,fireplace,no
FTR-00017,PRP-0006,updated_kitchen,Yes
FTR-00018,PRP-0006,solar_panels,1
FTR-00019,PRP-0007,new_roof,1
FTR-00020,PRP-0007,updated_kitchen,1
FTR-00021,PRP-0007,vaulted_ceilings,Yes
FTR-00022,PRP-0007,hardwood_floors,Yes
FTR-00023,PRP-0007,granite_counters,Yes
FTR-00024,PRP-0008,fresh_paint,Yes
FTR-00025,PRP-0008,stainless_appliances,no
FTR-00026,PRP-0009,master_suite,Yes
FTR-00027,PRP-0009,updated_kitchen,no
FTR-00028,PRP-0009,granite_counters,yes
FTR-00029,PRP-0009,stainless_appliances,no
FTR-00030,PRP-0009,smart_home,0
FTR-00031,PRP-0009,walk_in_closet,yes
FTR-00032,PRP-0010,walk_in_closet,Yes
FTR-00033,PRP-0010,stainless_appliances,YES
FTR-00034,PRP-0010,smart_home,no
FTR-00035,PRP-0011,smart_home,YES
FTR-00036,PRP-0011,hardwood_floors,YES
FTR-00037,PRP-0011,open_floor_plan,no
FTR-00038,PRP-0012,new_roof,no
FTR-00039,PRP-0012,stainless_appliances,no
FTR-00040,PRP-0012,walk_in_closet,no
FTR-00041,PRP-0012,open_floor_plan,0
FTR-00042,PRP-0012,master_suite,yes
FTR-00043,PRP-0012,smart_home,0
FTR-00044,PRP-0013,updated_kitchen,YES
FTR-00045,PRP-0013,stainless_appliances,YES
FTR-00046,PRP-0014,master_suite,YES
