transaction_id,listing_id,buyer_id,agent_id,sale_price,sale_date,closing_date,commission_amount,transaction_status,financing_type,inspection_passed
TXN-00001,LST-2538,BYR-1560,AGT-0014,564343.77,2024-02-19,2024-03-19,18066.11,Cancelled,FHA,False
TXN-00002,LST-5244,BYR-0814,AGT-0111,1123508.95,2021-04-15,2021-05-22,65128.04,Cancelled,VA,True
TXN-00003,LST-2581,BYR-2677,AGT-0006,2360712.19,2021-04-08,2021-05-11,101742.1,Cancelled,VA,False
TXN-00004,LST-5153,BYR-1999,AGT-0108,953489.18,2024-07-31,2024-08-22,42756.33,Cancelled,FHA,True
TXN-00005,LST-3511,BYR-1008,AGT-0273,1733871.6,2024-07-20,2024-08-20,99907.22,Pending,Conventional,False
TXN-00006,LST-5744,BYR-3678,AGT-0207,1030509.93,2024-10-14,2024-11-06,38604.38,Pending,FHA,False
TXN-00007,LST-4183,BYR-2858,AGT-0260,158743.17,2020-08-15,2020-08-30,9306.29,Cancelled,Conventional,True
TXN-00008,LST-3725,BYR-3978,AGT-0267,2168310.62,2022-09-13,2022-10-08,129564.53,Pending,Conventional,True
TXN-00009,LST-5965,BYR-0099,AGT-0156,838294.61,2020-09-26,2020-11-07,44043.89,Pending,Conventional,True
TXN-00010,LST-5596,BYR-1048,AGT-0300,2730012.72,2022-04-09,2022-05-23,120292.83,Cancelled,Conventional,True
TXN-00011,LST-4262,BYR-3393,AGT-0184,811094.68,2020-03-28,2020-04-28,25979.0,Pending,Cash,True
TXN-00012,LST-3850,BYR-3120,AGT-0283,1884090.79,2022-06-09,2022-07-23,74643.76,Completed,Conventional,True
TXN-00013,LST-3705,BYR-1829,AGT-0237,1273438.11,2020-10-02,2020-10-17,48348.85,Cancelled,Conventional,True
TXN-00014,LST-0830,BYR-3706,AGT-0239,1959938.04,2020-10-25,2020-11-19,61765.09,Pending,Cash,True
TXN-00015,LST-1235,BYR-0994,AGT-0171,1557683.1,2020-05-12,2020-06-24,66798.05,Pending,Conventional,True
TXN-00016,LST-0692,BYR-2511,AGT-0114,708095.81,2021-04-29,2021-05-24,40887.97,Pending,Conventional,False
TXN-00017,LST-0544,BYR-3699,AGT-0178,3034776.47,2021-09-21,2021-10-14,128952.93,Pending,Jumbo,True
TXN-00018,LST-2511,BYR-1480,AGT-0087,1399217.44,2021-02-17,2021-03-21,80296.53,Cancelled,Jumbo,True
TXN-00019,LST-3325,BYR-2197,AGT-0193,2117223.22,2020-11-14,2020-12-04,125532.24,Pending,Conventional,True
TXN-00020,LST-3232,BYR-2620,AGT-0153,328726.0,2023-09-12,2023-10-18,12985.56,Pending,Conventional,True
TXN-00021,LST-3013,BYR-3296,AGT-0265,282543.02,2021-11-17,2021-12-07,11502.3,Completed,Conventional,True
TXN-00022,LST-0005,BYR-2719,AGT-0016,541258.7,2020-07-01,2020-08-02,31643.46,Pending,Jumbo,True
TXN-00023,LST-5791,BYR-1332,AGT-0093,502523.9,2023-07-28,2023-09-02,15403.39,Cancelled,Conventional,True
TXN-00024,LST-3876,BYR-1396,AGT-0089,171840.37,2023-12-20,2024-01-13,6006.58,Cancelled,Cash,True
TXN-00025,LST-0055,BYR-3356,AGT-0146,2381709.47,2021-06-28,2021-08-06,68396.19,Completed,Cash,True
TXN-00026,LST-5936,BYR-2222,AGT-0058,856331.3,2024-02-17,2024-03-22,27640.49,Cancelled,Conventional,False
TXN-00027,LST-1681,BYR-0999,AGT-0044,2588489.06,2021-03-30,2021-05-03,109751.16,Completed,Conventional,False
TXN-00028,LST-1535,BYR-3738,AGT-0162,1150500.18,2020-10-04,2020-11-07,35046.01,,Conventional,True
TXN-00029,LST-5205,BYR-1095,AGT-0021,2359044.34,2021-06-04,2021-07-17,94452.68,Cancelled,Conventional,True
TXN-00030,LST-1551,BYR-3260,AGT-0060,1496824.98,2022-08-26,2022-09-15,66893.0,Pending,Conventional,True
TXN-00031,LST-1769,BYR-3595,AGT-0264,227381.97,2024-06-30,2024-08-05,6029.08,Cancelled,Conventional,True
TXN-00032,LST-0995,BYR-3923,AGT-0270,550626.17,2022-10-11,2022-11-02,24406.19,Pending,Conventional,True
TXN-00033,LST-4714,BYR-0570,AGT-0210,1504765.12,2024-05-26,2024-06-19,48058.18,Completed,Conventional,True
TXN-00034,LST-4227,BYR-0107,AGT-0011,1242461.94,2024-06-09,2024-07-17,67124.68,Pending,Jumbo,False
TXN-00035,LST-2312,BYR-2163,AGT-0235,422304.57,2021-06-12,2021-07-01,24823.49,Cancelled,Cash,False
TXN-00036,LST-4213,BYR-2764,AGT-0299,1745827.49,2020-08-18,2020-09-06,72115.67,Completed,Cash,False
TXN-00037,LST-5449,BYR-0039,AGT-0123,993464.96,2020-10-01,2020-11-07,51633.08,Cancelled,Cash,False
TXN-00038,LST-0740,BYR-0007,AGT-0208,170269.16,2023-01-20,2023-02-12,7483.11,Completed,FHA,True
TXN-00039,LST-0837,BYR-0492,AGT-0130,875461.17,2022-04-29,2022-06-11,46889.39,Cancelled,VA,True
TXN-00040,LST-1467,BYR-3158,AGT-0144,2184962.09,2024-03-13,2024-03-31,65762.09,Pending,FHA,True
TXN-00041,LST-3147,BYR-1543,AGT-0238,709829.1,2022-09-09,2022-10-08,37336.19,Pending,Conventional,True
TXN-00042,LST-2762,BYR-1228,AGT-0235,726676.23,2023-12-29,2024-01-23,30701.93,Pending,Conventional,False
TXN-00043,LST-5481,BYR-2112,AGT-0097,342343.14,2024-11-12,2024-12-22,16399.66,,Conventional,False
TXN-00044,LST-1092,BYR-0442,AGT-0111,2130117.49,2023-05-29,2023-06-26,87689.53,Cancelled,FHA,True
TXN-00045,LST-1018,BYR-3615,AGT-0125,944324.42,2021-12-26,2022-01-13,36201.59,Cancelled,Conventional,True
TXN-00046,LST-4547,BYR-0856,AGT-0033,453819.58,2020-10-03,2020-10-26,15108.12,Completed,VA,True
TXN-00047,LST-XXXX,BYR-2575,AGT-0059,1934714.39,2020-05-04,2020-05-29,75343.11,Pending,Conventional,True
TXN-00048,LST-3435,BYR-3850,AGT-0160,1548829.18,2022-03-12,2022-04-06,41399.88,Pending,Conventional,True
TXN-00049,LST-0315,BYR-2997,AGT-0081,1449148.87,2024-04-07,2024-04-29,84789.79,Pending,Conventional,False
TXN-00050,LST-2857,BYR-0611,AGT-0100,2139038.97,2023-11-06,2023-12-18,86241.83,Completed,Jumbo,False
TXN-00051,LST-2708,BYR-0386,AGT-0230,2622798.45,2023-08-16,2023-09-23,126500.93,Completed,VA,True
TXN-00052,LST-4833,BYR-2243,AGT-0235,2219616.26,2022-01-01,2022-01-21,69652.62,Completed,Conventional,True
TXN-00053,LST-3031,BYR-3135,AGT-0144,1732320.59,2023-05-29,2023-07-01,49223.9,Pending,Cash,False
TXN-00054,LST-1851,BYR-0741,AGT-0075,1226693.83,2023-06-18,2023-07-09,51100.81,Pending,Jumbo,True
TXN-00055,LST-5472,BYR-0221,AGT-0022,870536.31,2024-07-04,2024-08-12,42625.45,Pending,Conventional,True
TXN-00056,LST-4256,BYR-1278,AGT-0127,325368.12,2020-08-24,2020-10-04,15291.07,Cancelled,Conventional,True
TXN-00057,LST-XXXX,BYR-3226,AGT-0137,330128.47,2022-07-20,2022-08-18,14402.45,Cancelled,VA,True
TXN-00058,LST-1651,BYR-1724,AGT-0293,754786.97,2023-11-08,2023-12-21,41041.17,Cancelled,Conventional,True
TXN-00059,LST-5199,BYR-3224,AGT-0122,1225538.85,2024-08-20,2024-09-07,50384.02,Completed,Cash,True
TXN-00060,LST-2909,BYR-0264,AGT-0027,1956097.3,2024-05-07,2024-06-14,95546.27,Pending,FHA,True
TXN-00061,LST-3903,BYR-2180,AGT-0189,1397157.19,2023-04-25,2023-05-24,80218.59,Completed,Jumbo,False
TXN-00062,LST-5861,BYR-3963,AGT-0200,968927.04,2024-07-17,2024-08-19,50670.9,Cancelled,Jumbo,True
TXN-00063,LST-3741,BYR-2406,AGT-0285,983216.57,2023-03-18,2023-04-10,31734.44,Cancelled,Conventional,False
TXN-00064,LST-1301,BYR-2001,AGT-0109,1419381.33,2022-07-14,2022-08-27,81224.81,Completed,Cash,False
